Country, Publication_Date,Title,URL
IRQ, 2021-04-19, "Iraq to receive a new shipment of COVID-19 vaccine through COVAX over the next month", "https://www.nrttv.com/en/News.aspx?id=27528&MapID=2"
IRQ, 2021-04-11, "Iraq receives first shipment of Pfizer-BioNTech vaccines as cases soar", "https://www.thenationalnews.com/mena/iraq/iraq-receives-first-shipment-of-pfizer-biontech-vaccines-as-cases-soar-1.1201638",
IRQ, 2021-04-09, "Iraq’s MOH calls on airlines not to issue tickets to unvaccinated citizens", "https://www.nrttv.com/en/News.aspx?id=27350&MapID=2"
IRQ, 2021-04-28, "Vaccinations In Iraq As Official Reassures On Safety", "https://www.republicworld.com/world-news/middle-east/vaccinations-in-iraq-as-official-reassures-on-safety.html"


