Country, Publication_Date,Title,URL
JOR, 2021-01-13, Jordan launches Covid vaccination campaign,https://www.france24.com/en/live-news/20210113-jordan-launches-covid-vaccination-campaign,"Jordan Launches COVID vaccination campaign on Wednesday, beginning with jabs for healthcare workers, people with chronic illnesses and those over the age of 60. "
JOR, 2021-04-18, "146,400 AstraZeneca doses arrived in Jordan Sunday through COVAX", "https://www.almamlakatv.com/news/61357-%D9%88%D8%B5%D9%88%D9%84-1464-%D8%A3%D9%84%D9%81-%D8%AC%D8%B1%D8%B9%D8%A9-%D9%85%D9%86-%D9%84%D9%82%D8%A7%D8%AD-%D8%A3%D8%B3%D8%AA%D8%B1%D8%A7%D8%B2%D9%8A%D9%86%D9%8A%D9%83%D8%A7-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86-%D9%85%D8%B3%D8%A7%D8%A1-%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D8%B9%D8%A8%D8%B1-%D9%85%D8%B1%D9%81%D9%82-%D9%83%D9%88%D9%81%D8%A7%D9%83%D8%B3"
JOR, 2021-04-09, "Jordan aims to administer 3 million doses by June for ""safe summer""", "https://gulfnews.com/world/mena/covid-19-jordan-aims-to-administer-3-million-doses-by-june-for-safe-summer-1.78466362"
JOR, 2021-04-29, "65,000 medical staff receive first dose of COVID vaccine", "http://jordantimes.com/news/local/65000-medical-staff-receive-first-dose-covid-vaccine"

