Country, Publication_Date, Tags, Title, URL, Description
KWT, 2021-04-18, News, "882,000 people get the vaccine in Kuwait: The country aims to inoculate 2 million people by the end of Ramadan", "https://gulfnews.com/world/gulf/kuwait/covid-19-882000-people-get-vaccine-in-kuwait-1.78587417", 
KWT, 2021-04-10, News, "Kuwait expands COVID 19 vaccination to seven more cities", "https://www.kuna.net.kw/ArticleDetails.aspx?id=2970401&language=en#", 
LBN, 2021-01-15, News, "دياب يوقع مرسومًا يتعلق بلقاح كورونا",https://www.lebanon24.com/news/lebanon/784550/دياب-يوقع-مرسومًا-يتعلق-بلقاح-كورونا,"Prime Minister Hassan Diab has signed a decree transferring an appropriation from the general budget reserve to the Ministry of Health budget at a value of LBP 26.4 billion For the second batch of the contract signed last October with the World Health Organization's COVAX platform to reserve 2,730,000 doses of Covid-19 vaccines from international companies, adding to the 2,100,000 vaccines that Pfizer will provide."
LBN, 2021-04-17, News, "Lebanon receives its 10th Pfizer shipment with 47,970 doses", "https://arabic.sputniknews.com/arab_world/202104171048718709-%D9%88%D8%B5%D9%88%D9%84-%D8%A7%D9%84%D8%B4%D8%AD%D9%86%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D8%B4%D8%B1%D8%A9-%D9%85%D9%86-%D9%84%D9%82%D8%A7%D8%AD-%D9%81%D8%A7%D9%8A%D8%B2%D8%B1-%D8%A5%D9%84%D9%89-%D9%84%D8%A8%D9%86%D8%A7%D9%86/",
LBN, 2021-04-16, News, "Statement by H.E. Dr. Amal Mudallali Permanent Representative of Lebanon to the United Nations at the Economic and Social Council Special meeting on ""A Vaccine for all""", "https://estatements.unmeetings.org/estatements/30.0010/20210416/EGW2rH4DTjW9/3FoUvb5XD7qH_en.pdf", 
LBN, 2021-04-08, News, "Seven million doses are coming to Lebanon, 400,000 arriving this month", "https://www.lebanon24.com/news/lebanon/810865/%D8%AA%D8%AF%D9%81%D9%82-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD%D8%A7%D8%AA-%D8%B3%D8%A8%D8%B9%D8%A9-%D9%85%D9%84%D8%A7%D9%8A%D9%8A%D9%86-%D9%84%D9%82%D8%A7%D8%AD-%D8%A5%D9%84%D9%89-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D8%B9%D8%A7%D9%85", 
LBY, 2021-04-18, News, "Libya kicks off Covid-19 vaccination drive", "https://www.libyaobserver.ly/health/libya-kicks-covid-19-vaccination-drive",
LBY, 2021-04-11, News, "Coronavirus vaccination campaign begins", "https://www.libyaobserver.ly/health/libya-coronavirus-vaccination-campaign-begins", 
LBY, 2021-04-09, News, "A second batch of 100,000 Sputnik doses arrived in Libya following the 57,000 AstraZeneca doses provided by Covax", "https://www.libyaobserver.ly/inbrief/second-batch-covid-19-vaccine-arrived-libya",
MAR, 2021-01-15, News, "AstraZeneca: 20 Millions de Doses Destinées au Programme COVAX Envoyées par l’Inde à la Fin du Mois",https://telquel.ma/2021/01/15/astrazeneca-20-millions-de-doses-destinees-au-programme-covax-envoyees-par-linde-a-la-fin-du-mois_1707802,"In comments reported by Reuters, the CEO of the Serum Institute of India discusses the distribution of AstraZeneca vaccines, which should be distributed soon in Morocco."
MAR, 2021-01-16, News, "COVID-19:Pour Le Vaccin D'Astrazeneca, Le Maroc Devra Encore Attendre",https://fr.le360.ma/societe/covid-19-pour-le-vaccin-dastrazeneca-le-maroc-devra-encore-attendre-231557," ""It's the supplier's fault,"" a source at the Ministry of Health replied. ""We are ready on all fronts and the necessary logistics has been in place for several days. We are just waiting for a return from the supplier,"" adds the same source, without further details. Clearly, this assumes that the batch intended for Morocco is not yet ready, knowing that the health authorities of the Kingdom authorized the AstraZeneca (Covishield) vaccine on January 4."
MAR, 2021-04-18, News, "Moroccans are awaiting the reinforcement of the vaccination campaign as China promises 10 million doses over the next few months", "https://ar.lesiteinfo.com/maroc/514361.html",
MAR, 2021-04-09, News, "Morocco Continues to Lead Africa in Vaccination Campaign", "https://www.moroccoworldnews.com/2021/04/339358/covid-19-morocco-continues-to-lead-africa-in-vaccination-campaign/",
MAR, 2021-04-09, News|COVAX, "Morocco received its first vaccine batch through COVAX mechanism", "https://www.aa.com.tr/ar/%D8%A7%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9/%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%8A%D8%AA%D9%84%D9%82%D9%89-%D8%A7%D9%84%D8%AD%D8%B5%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D9%85%D9%86-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD%D8%A7%D8%AA-%D8%A8%D9%85%D9%88%D8%AC%D8%A8-%D8%A2%D9%84%D9%8A%D8%A9-%D9%83%D9%88%D9%81%D8%A7%D9%83%D8%B3/2203003",
OMN, 2021-01-12, News, "غدًا..الصحة تبدأ التطعيم بالجرعة الثانية من لقاح فايزر - بيونتيك",https://shabiba.com/article/id/150870,"Tomorrow the Sultanate of Oman begins vaccination with the second dose of the Pfizer - Bionic vaccine"
OMN, 2021-04-15, News, "Oman to receive more than one million Covid-19 vaccines", "https://timesofoman.com/article/100301-oman-to-receive-more-than-one-million-covid-19-vaccines", 
OMN, 2021-04-10, News, "During four months, Oman is planning on importing 3 million vaccine doses", "https://www.atheer.om/archives/555992/%D8%AE%D9%84%D8%A7%D9%84-%D9%A4-%D8%A3%D8%B4%D9%87%D8%B1-%D8%B3%D8%B9%D9%8A-%D8%A5%D9%84%D9%89-%D8%A7%D8%B3%D8%AA%D9%8A%D8%B1%D8%A7%D8%AF-%D8%A3%D9%83%D8%AB%D8%B1-%D9%85%D9%86-3-%D9%85%D9%84%D8%A7/", 
PSE, 2021-01-16, News, "Israel vaccinates: No jabs for the Palestinians",https://english.ahram.org.eg/NewsContent/50/1203/398729/AlAhram-Weekly/World/Israel-vaccinates-No-jabs-for-the-Palestinians.aspx,"Israel has denied Palestinians access to the vaccine after it rebuffed a World Health Organisation (WHO) vaccine request last week for the Palestinian health workforce as an immediate priority target group, citing shortages at home. Palestinians were deprived of the vaccine as Israel prioritised only Israeli settlers."
PSE, 2021-04-16, News, "Israel’s vaccine triumph masks a coming catastrophe: a few miles separate one of the world’s most encouraging pandemic stories and one of its sharpest crises.", "https://slate.com/news-and-politics/2021/04/israel-palestinians-vaccine-inequality.html", 
PSE, 2021-04-20, News, "COVAX supplies 72,000 AstraZeneca vaccine doses to Palestinian Authority", "https://www.jpost.com/breaking-news/covax-supplies-72000-astrazeneca-vaccine-doses-to-palestinian-authority-665642", 
PSE, 2021-04-09, News, "Palestinians are Suffering from Hunger, Poverty, Conflict & A Global Pandemic", "https://reliefweb.int/report/occupied-palestinian-territory/palestinians-are-suffering-hunger-poverty-conflict-global", 
QAT, 2021-04-16, News, "Statement of the State of Qatar By Her Excellency Ambassador Alya Ahmed bin Saif Al Thani Permanent Representative of the State of Qatar to the United Nations At The Virtual Special Meeting of the Economic and Social Council On ""A Vaccine for All""", "https://estatements.unmeetings.org/estatements/30.0010/20210416/EGW2rH4DTjW9/A3IEMLfRRxGz_en.pdf", 
QAT, 2021-04-17, News, "Qatar reiterates its commitment to global solidarity; 20 Millions dollars donated to COVAX", "https://alkhaleejonline.net/سياسة/قطر-تجدد-التزامها-بالإنصاف-في-إنتاج-لقاحات-كورونا-وتوزيعها", 
QAT, 2021-04-18, News, """A Covid-free event:"" Qatar to provide vaccine to all 2022 World Cup visitors", "https://www.dohanews.co/a-covid-free-event-qatar-to-provide-vaccine-to-all-2022-world-cup-visitors/", 
QAT, 2021-04-11, News|UNHCR, "Qatar Red Crescent to launch global refugee vaccination project", "https://www.aljazeera.com/news/2021/4/11/qatar-red-crescent-to-launch-global-refugee-vaccination-project", 
SAU, 2021-01-16, News, "Saudi Arabia has so far contributed $713 million to support global COVID-19 relief efforts: Al-Rabeeah", "https://saudigazette.com.sa/article/605665/SAUDI-ARABIA/Saudi-Arabia-has-so-far-contributed-$713-million-tosupport-global-COVID-19-relief-efforts-Al-Rabeeah", 
SAU, 2021-04-10, News, "Over 6 million COVID-19 vaccine doses administered in Saudi Arabia", "https://saudigazette.com.sa/article/605410/SAUDI-ARABIA/Over-6-million-COVID-19-vaccine-doses-administered-in-Saudi-Arabia", 
SYR, 2021-04-08, News, "Syria to vaccinate 25% of Syrians against COVID-19 by end of 2021", "http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm", 
TUN, 2021-01-14, News, "Accès de la Tunisie au vaccin anti-Covid-19: Le vrai du faux",https://lapresse.tn/84308/acces-de-la-tunisie-au-vaccin-anti-covid-19-le-vrai-du-faux/,"Mr. Souteyrand, representative of the WHO in Tunisia, specifies that it is an AMC eligible country and that it is eligible for this initiative which will allow it to cover 20% of its population vaccine at either very competitive rates or for free. Not only is it one of the AMC countries, Tunisia has also completed the application for approval in time."
TUN, 2021-04-15, News|COVAX, "Tunisia calls for more support to COVAX to ensure an equitable and fair vaccine distribution", "https://www.babnet.net/rttdetail-224228.asp",
TUN, 2021-04-19, News, "Opening six new vaccination centers", "http://www.rtci.tn/covid-19-ouverture-six-nouveaux-centres-vaccination/", 
TUN, 2021-04-08, News, "Tunisia gives J&J an emergency use authorization in preparation to receiving doses from the AU", "https://www.shemsfm.net/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1_%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%AA%D9%88%D9%86%D8%B3_%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9/284121/%D8%A5%D8%B3%D9%86%D8%A7%D8%AF-%D8%B1%D8%AE%D8%B5%D8%A9-%D8%AA%D8%B1%D9%88%D9%8A%D8%AC-%D8%A5%D8%B3%D8%AA%D8%AB%D9%86%D8%A7%D8%A6%D9%8A%D8%A9-%D9%88%D9%85%D8%A4%D9%82%D8%AA%D8%A9-%D8%A8%D8%A7%D9%84%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D8%A9-%D9%84%D9%84%D9%82%D8%A7%D8%AD-janssen-covid-19-vaccine", 
TUN, 2021-04-10, News, "Nisaf Ben Alaya: Tunisia is preparing to become a production center for vaccines", "https://www.hakaekonline.com/article/130490/%D9%86%D8%B5%D8%A7%D9%81-%D8%A8%D9%86-%D8%B9%D9%84%D9%8A%D8%A9-%D8%AA%D8%A4%D9%83%D8%AF-%D8%A7%D8%B3%D8%AA%D8%B9%D8%AF%D8%A7%D8%AF-%D8%AA%D9%88%D9%86%D8%B3-%D9%84%D8%AA%D9%83%D9%88%D9%86-%D9%85%D8%B1%D9%83%D8%B2%D8%A7-%D9%84%D8%AA%D8%B5%D9%86%D9%8A%D8%B9-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD%D8%A7%D8%AA-%D8%B6%D8%AF-%D9%83%D9%88%D9%81%D9%8A%D8%AF-19", 
YEM, 2021-04-16, News, "Yemen, World Bank Agree to Speed up Supply of COVID-19 Vaccines", "https://english.aawsat.com/home/article/2918011/yemen-world-bank-agree-speed-supply-covid-19-vaccines", 
YEM, 2021-04-12, News, "Covid-19 vaccine misinformation feeds unease as first jabs arrive", "https://www.middleeasteye.net/news/yemen-covid-vaccine-misinformation-people-uneasy", 
MENA, 2021-01-05, OpEd, Covax must go beyond proportional allocation of covid vaccines to ensure fair and equitable access,https://www.bmj.com/content/372/bmj.m4853,"International collaboration is key for the fair and efficient distribution of covid-19 vaccines. Lisa Herzog and colleagues’ Fair Priority Model, with its focus on allocating vaccine based on limiting covid-19 harms, realises ethical principles better than Covax’s proposal of proportional allocation based on population."
MENA, 2020-10-19, OpEd, "The Role of International Law in Vaccinating Against COVID-19: Appraising the COVAX Initiative",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3733454,"Soon there will be vaccines against COVID-19, but they will initially be scarce. Vaccine nationalism, resultantly, looms large. However, for considerations of effectiveness, solidarity as well as of international law, national governments should also cater for the health of other countries’ populations."
MENA, 2021-01-14, Vaccine_Production, First Covax vaccine doses to arrive in February,https://www.businesslive.co.za/bd/national/health/first-covax-vaccine-doses-to-arrive-in-february/,"South Africa will receive the first batch of vaccines from the Covax pool in February with the rest flowing as soon as it is available, Dr Seth Berkley, CEO of the global vaccine alliance Gavi, said in an interview on Wednesday."
MENA, 2021-01-15, Vaccine_Production, "Six EU states say ""situation unacceptable"" after Pfizer-BioNTech cuts vaccine deliveries",https://english.ahram.org.eg/News/398896.aspx,"The letter, signed by the health ministers of Sweden, Denmark, Finland, Lithuania, Latvia and Estonia, said Pfizer/BionTech had told them that agreed vaccine deliveries in the coming weeks would be substantially reduced.""This situation is unacceptable"", said the letter, which was seen by Reuters. ""Not only does it impact the planned vaccination schedules, it also decreases the credibility of the vaccination process."""
MENA, 2021-01-14, Vaccine_Production, Companies scramble to expand coronavirus vaccine supply,https://www.washingtonpost.com/health/2021/01/14/covid-vaccine-supply/,"Distribution challenges have received most of the attention, as unused doses stack up. But the risk of raw ingredient shortages, manufacturing delays and other unforeseen production issues loom as the next potential bottleneck as companies work to reach a massive scale of manufacturing."
MENA, 2021-01-16, COVAX, "Region’s share of COVAX vaccines ""here by end of March""",https://barbadostoday.bb/2021/01/16/regions-share-of-covax-vaccines-here-by-end-of-march/,"An initial two billion vaccine doses have already been secured from drug-maker Pfizer under COVAX for distribution globally this year, with another 1.3 billion doses planned for 2022."
MENA, 2021-01-16, WHO|COVAX, "Covid-19 vaccination begins in 46 countries, - WHO",https://112.international/politics/covid-19-vaccination-begins-in-46-countries-who-58183.html,"To date, vaccination against coronavirus has begun in 46 countries. Moreover, 38 of them are high-income countries. This was stated at a briefing by Assistant Director General of the World Health Organization, Marianjela Simao. According to her, the global COVAX mechanism is intended to correct the situation so that vaccination against Covid begins in low-income countries."
MENA, 2021-01-18, WHO|COVAX, "WHO chief warns against ""catastrophic moral failure"" in COVID-19 vaccine access",https://news.un.org/en/story/2021/01/1082362,"Addressing the agency’s Executive Board, WHO chief Tedros Adhanom Ghebreyesus expressed fear that ""even as vaccines bring hope to some, they become another brick in the wall of inequality between the world’s haves and have-nots."" ""Even as they speak the language of equitable access, some countries and companies continue to prioritize bilateral deals, going around COVAX, driving up prices and attempting to jump to the front of the queue. This is wrong,"" Tedros stated."
MENA, 2021-01-15, WHO, "Emergency Committee on COVID-19 advises on variants, vaccines",https://www.who.int/news/item/15-01-2021-emergency-committee-on-covid-19-advises-on-variants-vaccines,"The EC met to review the emerging variants of SARS-CoV-2 and to consider the potential use of vaccination and testing certificates for international travel."
MENA, 2021-04-15, COVAX, "The ""One World Protected"" Event, hosted today by the United States and Gavi, the Vaccine Alliance, launched a campaign to raise US$ 2 billion for the global fight against COVID-19","https://www.gavi.org/news/media-room/global-leaders-rally-accelerate-access-covid-19-vaccines-lower-income-countries",
MENA, 2021-04-15, COVAX, "The New GAVI COVAX AMC investment opportunity: The Launch event video", "https://www.gavi.org/investment-opportunity-gavi-covax-amc",
MENA, 2021-04-16, WHO, "The Economic and Social Council (ECOSOC) convened a special high-level meeting on ""A Vaccine for All""","https://www.un.org/ecosoc/en/events/2021/vaccine-all",
MENA, 2021-04-20, WHO, "The world can bring COVID-19 pandemic under control within months: WHO chief","https://www.channelnewsasia.com/news/world/world-can-bring-covid-19-pandemic-under-control-within-months-14653924",
MENA, 2021-14-16, WHO, "Establishment of a COVID-19 mRNA vaccine technology transfer hub to scale up global manufacturing","https://www.who.int/news-room/articles-detail/establishment-of-a-covid-19-mrna-vaccine-technology-transfer-hub-to-scale-up-global-manufacturing",
MENA, 2021-04-19, COVAX, """COVAX objective is to achieve vaccine equity for all countries"" - interview with Chrysoula Zacharopoulou","https://www.europe1.fr/emissions/L-interview-de-7h40/coronavirus-avec-covax-lobjectif-est-de-garantir-un-acces-equitable-aux-vaccins-dans-tous-les-pays-du-monde-explique-chrysoula-zacharopoulou-4039538",
MENA, 2021-04-16, WHO|COVAX, """Vaccine equity the ‘challenge of our time,"" WHO chief declares, as governments call for solidarity, sharing", "https://news.un.org/en/story/2021/04/1089972",
MENA, 2021-04-19, WHO, "WHO panel comes out against requiring vaccination proof for travel", "https://thehill.com/policy/healthcare/549000-who-panel-comes-out-against-requiring-vaccination-proof-for-travel",
MENA, 2021-04-18, Vaccine_Production, "India, the world’s biggest producer is running out of COVID-19 vaccines", "https://citizentv.co.ke/news/the-worlds-biggest-producer-is-running-out-of-covid-19-vaccines-10217182/",
MENA, 2021-04-16, Vaccine_Production, "Johnson & Johnson asked rival COVID-19 vaccine makers to probe clotting risks","http://www.dailystar.com.lb/Life/Health/2021/Apr-16/519394-johnson-johnson-asked-rival-covid-19-vaccine-makers-to-probe-clotting-risks.ashx",
MENA, 2021-04-15, Vaccine_Production, "Why is it so hard to review the Johnson & Johnson vaccine? Data", "https://www.technologyreview.com/2021/04/15/1022733/johnson-covid-vaccine-data-suspension/?truid=5521f61fbf5eb80ff140cd37951fc9a2&utm_source=the_download&utm_medium=email&utm_campaign=the_download.unpaid.engagement&utm_term=&utm_content=04-20-2021&mc_cid=02789adad0&mc_eid=32f9497855",
MENA, 2021-04-16, Vaccine_Production, "AstraZeneca is the ""workhorse"" for vaccinating the world. Now, the world is uneasy over clot risks", "https://www.washingtonpost.com/world/astrazeneca-vaccine-covax-world-clots/2021/04/15/da05b424-9876-11eb-8f0a-3384cf4fb399_story.html", 
MENA, 2021-04-19, OpEd, """Vaccine nationalism"" of the rich countries is causing ""vaccine famine"" in the poorer ones","https://www.bastamag.net/Vaccins-AstraZeneca-Pfizer-Moderna-Sputnik-Sinopharm-Covax-OMS-vaccination-dans-les-pays-pauvres",
