Country, Publication_Date,Title,URL
SYR, 2021-05-02, "VACCINE ROLLOUT BEGINS IN REBEL-HELD NORTHERN SYRIA", "https://www.nrttv.com/en/News.aspx?id=27767&MapID=3"
SYR, 2021-05-26, "WHO hands over Syrias Autonomous Administration Covid-19 vaccine", "https://npasyria.com/en/59903/"

