Date, Title, URL
2021-06-01, "WHO approves Sinovac COVID shot in second Chinese milestone", "https://www.reuters.com/business/healthcare-pharmaceuticals/who-approves-sinovac-covid-19-vaccine-2nd-chinese-made-dose-listed-2021-06-01/"
2021-05-26, "Rich countries cornered COVID-19 vaccine doses. Four strategies to right a ‘scandalous inequity", "https://www.sciencemag.org/news/2021/05/rich-countries-cornered-covid-19-vaccine-doses-four-strategies-right-scandalous"
2021-05-29, "Vietnam detects highly contagious new coronavirus variant as infections surge", "https://www.washingtonpost.com/world/2021/05/29/vietnam-hybrid-variant-covid-virus/"
2021-05-27, "Africa sounds urgent call for COVID-19 vaccine doses", "https://www.cidrap.umn.edu/news-perspective/2021/05/africa-sounds-urgent-call-covid-19-vaccine-doses"
2021-06-01, "Covid-19: UK in early stages of third wave", "https://www.bbc.com/news/uk-57304515"
2021-06-01, "Covid-19 variants to be given Greek alphabet names to avoid stigma", "https://www.theguardian.com/world/2021/jun/01/covid-19-variants-to-be-given-greek-alphabet-names-to-avoid-stigma"
2021-05-31, "Even after U.S. shift, opponents resist COVID-19 vaccine patent waiver", "https://www.reuters.com/business/healthcare-pharmaceuticals/even-after-us-shift-opponents-resist-covid-19-vaccine-patent-waiver-2021-05-31/"
