Country, Publication_Date,Title, URL
ONN,2021-06-20,"Oman reinstates night-time curfew as Covid cases rise","https://www.argusmedia.com/en/news/2226600-oman-reinstates-nighttime-curfew-as-covid-cases-rise"
OMN,2021-06-18,"Oman slowest vaccinator in the Gulf, pushes campaign amid COVID-19 surge","https://www.reuters.com/world/middle-east/oman-slowest-vaccinator-gulf-pushes-campaign-amid-covid-19-surge-2021-06-18/"
OMN,2021-06-14,"Current cases more severe, critical in Oman", "https://timesofoman.com/article/102665-covid-19-current-cases-more-severe-critical-in-oman"
OMN,2021-06-10,"Oman’s daily rate of COVID-19 infections triples", "https://www.arabnews.com/node/1873931/middle-east"
OMN,2021-06-07,"Vaccination campaign for second dose continues across Oman", "https://timesofoman.com/article/102300-covid-19-vaccination-campaign-for-second-dose-continues-across-oman"
OMN,2021-06-04,"COVID-19 and economic troubles stir unrest in Gulf monarchy", "https://www.i24news.tv/en/news/middle-east/1622793120-oman-covid-19-and-economic-troubles-stir-unrest-in-gulf-monarchy"
OMN,2021-06-01,"New vaccines to be used for people over 45, govt workers", "https://timesofoman.com/article/102019-new-vaccines-to-be-used-for-people-over-45-govt-workers"
OMN,2021-06-01,"1.25 million vaccine doses set to arrive in Oman", "https://timesofoman.com/article/102016-125-million-vaccine-doses-set-to-arrive-in-oman"
OMN,2021-05-04,"Oman receives more Covid-19 vaccines", "https://www.omanobserver.om/article/1215/COROVIRUS/oman-receives-more-covid-19-vaccines"
